TT	PID	AT	CT	IO_D		WT	RT	TRT	
14	11	12	1	0		1	0	2
15	302	7	7	0		1	0	8
36	311	25	11	0		11	0	11
36	2	4	12	0		20	19	32
45	9	11	33	0		1	0	34
51	315	45	6	0		6	0	6
51	301	6	8	0		37	36	45
57	12	15	24	2		18	0	42
59	3	5	8	2		46	0	54
65	316	50	15	0		15	0	15
65	313	39	26	0		26	0	26
65	305	15	28	0		22	21	50
80	47	48	29	0		3	2	32
81	321	61	20	0		20	0	20
81	319	58	23	0		23	0	23
81	304	12	43	0		26	25	69
85	317	56	29	0		29	0	29
85	314	44	41	0		41	0	41
85	308	18	42	0		25	24	67
85	324	79	6	0		6	0	6
85	322	65	20	0		20	0	20
85	307	17	21	0		47	46	68
97	34	35	13	0		49	11	62
102	320	60	42	0		42	0	42
102	318	56	46	0		46	0	46
102	303	11	49	0		42	41	91
103	35	35	13	0		55	19	68
105	325	82	23	0		23	0	23
105	323	69	36	0		36	0	36
105	306	17	38	0		50	49	88
105	327	91	14	0		14	0	14
105	326	88	17	0		17	0	17
105	43	44	18	0		43	42	61
106	329	96	10	0		10	0	10
106	328	93	13	0		13	0	13
106	309	20	23	0		63	62	86
115	331	109	6	0		6	0	6
115	312	39	7	0		69	69	76
117	19	19	18	5		80	4	98
120	330	96	24	0		24	0	24
120	41	43	33	0		44	44	77
120	332	115	5	0		5	0	5
120	310	22	16	0		82	81	98
132	62	67	25	0		40	40	65
132	73	78	11	0		43	42	54
138	14	15	4	8		119	0	123
140	336	130	10	0		10	0	10
140	86	93	12	0		35	34	47
143	37	37	5	0		101	99	106
146	28	27	33	0		86	16	119
155	342	147	8	0		8	0	8
155	76	83	22	0		50	24	72
155	71	74	1	3		80	19	81
160	87	94	6	0		60	44	66
162	344	156	6	0		6	0	6
162	337	135	27	0		27	0	27
162	80	87	31	0		44	43	75
163	343	153	10	0		10	0	10
163	29	28	41	3		94	11	135
163	340	145	18	0		18	0	18
163	339	143	20	0		20	0	20
163	102	110	21	0		32	31	53
179	88	97	17	0		65	64	82
191	354	186	5	0		5	0	5
191	352	184	7	0		7	0	7
191	129	135	9	0		47	46	56
191	25	26	10	4		155	9	165
193	122	128	7	0		58	28	65
198	21	20	19	7		159	14	178
203	6	8	21	1		174	8	195
207	351	184	23	0		23	0	23
207	349	176	31	0		31	0	31
207	107	113	44	0		50	49	94
218	362	217	1	0		1	0	1
218	361	216	2	0		2	0	2
218	333	124	9	0		85	85	94
220	355	193	27	0		27	0	27
220	353	185	35	0		35	0	35
220	335	130	35	0		55	55	90
230	191	192	44	0		38	0	38
232	366	229	3	0		3	0	3
232	347	169	16	0		47	47	63
232	364	224	8	0		8	0	8
232	360	213	19	0		19	0	19
232	130	135	24	0		73	25	97
233	72	77	16	0		140	21	156
235	368	232	3	0		3	0	3
235	363	224	11	0		11	0	11
235	334	124	15	0		96	95	111
240	369	239	1	0		1	0	1
240	89	97	3	5		140	47	143
244	372	243	1	0		1	0	1
244	370	239	5	0		5	0	5
244	341	146	7	0		91	91	98
248	359	213	35	0		35	0	35
248	358	208	40	0		40	0	40
248	346	162	40	0		46	45	86
251	367	230	21	0		21	0	21
251	365	228	23	0		23	0	23
251	338	136	29	0		86	86	115
257	222	226	11	0		20	19	31
260	371	241	19	0		19	0	19
260	348	170	26	0		64	64	90
261	376	253	8	0		8	0	8
261	375	251	10	0		10	0	10
261	356	195	11	0		55	55	66
262	51	50	14	5		198	14	212
263	377	261	2	0		2	0	2
263	194	195	21	0		47	47	68
273	380	265	8	0		8	0	8
273	230	234	11	0		28	28	39
278	374	247	31	0		31	0	31
278	373	246	32	0		32	0	32
278	350	178	32	0		68	68	100
279	208	211	44	0		24	23	68
282	235	238	1	0		43	42	44
285	65	69	11	4		205	21	216
290	32	31	14	0		245	68	259
298	381	267	31	0		31	0	31
298	378	262	36	0		36	0	36
298	345	157	45	0		96	96	141
298	357	197	18	0		83	83	101
300	53	52	4	5		244	26	248
312	387	304	8	0		8	0	8
312	255	252	12	0		48	48	60
316	152	159	3	2		154	45	157
316	238	240	29	0		47	46	76
321	390	314	7	0		7	0	7
321	23	22	19	3		280	3	299
324	271	272	17	0		35	34	52
332	379	264	12	0		56	56	68
332	158	166	4	0		162	151	166
332	163	170	5	0		157	135	162
333	389	310	23	0		23	0	23
333	386	302	31	0		31	0	31
333	199	201	36	0		96	52	132
343	212	215	12	0		116	59	128
349	92	99	3	3		247	29	250
354	22	20	15	0		319	8	334
359	18	18	18	3		323	0	341
361	397	357	4	0		4	0	4
361	393	337	24	0		24	0	24
361	383	277	38	0		46	46	84
364	396	353	11	0		11	0	11
364	391	335	29	0		29	0	29
364	284	284	31	0		49	49	80
373	398	359	14	0		14	0	14
373	394	343	30	0		30	0	30
373	382	276	39	0		58	58	97
380	402	375	5	0		5	0	5
380	261	259	14	0		107	70	121
385	264	261	22	0		102	101	124
385	143	146	30	5		233	41	239
388	127	134	3	2		251	43	254
393	94	101	12	4		280	28	292
397	404	383	14	0		14	0	14
397	399	368	29	0		29	0	29
397	384	287	31	0		79	79	110
398	406	396	2	0		2	0	2
398	283	283	19	0		96	75	115
403	403	380	23	0		23	0	23
403	401	373	30	0		30	0	30
403	388	307	35	0		61	61	96
403	55	57	24	4		322	23	346
404	407	397	7	0		7	0	7
404	405	389	15	0		15	0	15
404	385	289	29	0		86	86	115
411	408	400	11	0		11	0	11
411	400	372	39	0		39	0	39
411	392	336	39	0		36	36	75
412	164	171	6	1		235	1	241
413	57	57	2	6		354	42	356
413	78	85	1	4		327	26	328
416	136	139	26	4		251	50	277
418	33	34	32	4		352	10	384
431	414	429	2	0		2	0	2
431	412	416	15	0		15	0	15
431	249	248	22	1		161	15	183
433	197	198	3	4		232	57	235
435	416	435	3	0		0	0	0
435	413	421	14	0		2	3	14
435	395	346	29	0		60	60	89
439	277	276	15	5		148	15	163
439	38	38	28	0		373	105	401
440	417	438	2	0		2	0	2
440	27	26	7	11		407	14	414
441	115	118	6	6		317	25	323
441	415	429	12	0		12	0	12
441	409	401	26	0		14	13	40
441	157	164	11	1		266	30	277
444	294	294	10	0		140	88	150
446	5	6	30	5		410	9	440
447	91	99	38	2		310	24	348
455	147	150	16	2		289	43	305
472	425	461	11	0		11	0	11
472	424	460	12	0		12	0	12
472	419	448	23	0		1	1	24
476	108	114	45	4		317	42	362
486	429	478	19	0		8	0	8
486	427	474	23	0		12	0	12
486	423	453	33	0		11	11	33
486	426	462	26	0		24	0	24
486	432	482	21	0		4	0	4
486	431	481	22	0		5	0	5
486	422	453	35	0		14	15	33
486	418	446	40	0		1	1	40
486	410	404	41	0		41	41	82
490	258	258	3	5		229	77	232
493	170	176	25	5		292	28	317
499	433	492	7	0		7	0	7
499	411	416	11	0		72	72	83
501	30	28	10	4		463	7	473
505	434	496	6	0		3	3	9
505	64	68	7	4		430	39	437
507	430	480	27	0		27	26	27
507	436	504	20	0		3	0	3
507	435	497	27	0		10	0	10
507	428	475	32	0		16	17	32
507	420	448	33	0		26	25	59
509	219	223	24	5		262	50	286
516	74	78	47	0		391	43	438
519	437	508	11	0		10	9	11
519	421	450	31	0		38	38	69
522	173	179	6	5		337	49	343
525	438	508	5	0		12	11	17
538	441	537	1	0		1	0	1
538	439	524	13	0		1	1	14
545	125	133	38	0		374	373	412
547	83	90	1	7		456	28	457
550	237	239	2	5		309	45	311
551	154	162	8	4		381	18	389
552	442	549	3	0		1	0	3
552	440	525	12	0		15	14	27
552	70	73	2	9		477	29	479
555	82	88	3	5		464	34	467
556	138	142	13	0		401	33	414
559	214	216	4	1		339	49	343
560	273	274	8	0		278	153	286
564	20	20	6	8		538	4	544
565	259	259	3	0		303	302	306
569	137	141	14	0		414	33	428
570	252	250	8	0		312	173	320
573	444	568	5	0		5	0	5
573	220	224	28	5		321	55	349
574	110	115	31	9		428	50	459
575	292	292	30	3		253	67	283
577	79	86	11	3		480	35	491
579	42	44	17	6		518	19	535
584	4	5	49	2		530	0	579
589	175	183	4	3		402	43	406
591	39	38	12	2		541	107	553
594	449	589	7	0		5	0	5
594	447	582	13	0		1	0	12
594	448	585	11	0		1	0	9
594	446	577	19	0		17	0	17
594	445	575	20	0		1	0	19
594	443	567	27	0		0	1	27
594	298	296	49	4		249	89	298
595	213	215	2	7		378	63	380
596	185	188	12	0		396	63	408
601	226	230	13	3		358	38	371
612	44	45	20	5		547	9	567
616	81	87	20	2		509	27	529
620	229	233	2	1		385	134	387
621	117	120	25	8		476	33	501
623	210	213	3	2		407	195	410
623	248	245	38	1		340	34	378
624	450	618	6	0		1	0	6
624	296	295	10	6		319	18	329
628	224	229	37	4		362	64	399
628	1	2	40	12		586	0	626
633	100	105	40	4		488	19	528
634	290	289	12	0		333	60	345
639	192	192	12	0		435	87	447
644	85	93	19	6		532	41	551
645	453	643	3	0		2	0	2
645	452	642	3	0		1	0	3
645	451	640	5	0		1	0	5
645	246	243	24	6		378	97	402
649	109	115	22	6		512	51	534
654	52	52	35	5		567	158	602
659	279	280	49	2		330	45	379
671	49	49	42	0		580	57	622
673	274	275	4	3		394	167	398
679	299	297	17	9		365	90	382
680	458	677	4	0		1	0	3
680	457	673	9	0		7	0	7
680	456	671	10	0		1	1	9
680	455	666	14	0		1	0	14
680	454	660	15	0		5	4	20
680	287	286	35	1		359	49	394
687	174	181	25	4		481	45	506
711	10	12	50	0		649	648	699
713	58	58	1	15		654	26	655
716	464	713	3	0		3	0	3
716	463	712	5	0		1	1	4
716	462	703	14	0		1	1	13
716	461	698	18	0		1	0	18
716	459	695	19	0		2	1	21
718	146	148	16	0		554	37	570
718	59	62	11	8		645	42	656
723	120	125	17	8		581	26	598
723	167	173	11	9		539	51	550
725	26	26	27	8		672	34	699
728	67	69	16	0		643	64	659
730	15	15	27	4		688	0	715
736	469	727	10	0		9	0	9
736	468	726	11	0		1	0	10
736	466	723	13	0		1	1	13
736	470	735	2	0		1	0	1
736	467	725	12	0		1	0	11
736	465	719	17	0		1	1	17
736	460	696	18	0		22	21	40
770	60	63	46	0		661	15	707
771	473	764	7	0		1	1	7
771	472	755	16	0		16	0	16
771	471	752	18	0		1	0	19
775	476	774	1	0		1	0	1
775	475	773	3	0		2	1	2
775	474	768	7	0		1	0	7
775	135	139	49	1		587	37	636
775	291	289	10	13		476	65	486
779	183	186	6	4		587	48	593
782	131	136	50	0		596	595	646
784	289	288	13	0		483	80	496
786	477	785	1	0		1	0	1
786	293	294	9	5		483	83	492
786	297	296	16	4		474	84	490
789	101	109	6	4		674	105	680
791	140	143	10	3		638	42	648
794	198	198	39	4		557	58	596
796	225	230	1	6		565	2	566
798	247	244	13	0		541	71	554
800	478	788	12	0		12	0	12
800	193	192	35	4		573	302	608
809	218	220	45	8		544	50	589
812	90	98	48	5		666	425	714
820	479	818	2	0		1	0	2
820	17	17	43	1		760	3	803
841	211	214	46	0		581	71	627
850	480	838	12	0		1	0	12
