5 2 4
3
4 50 30 10
300
2 1 40  3 (19,3),(24,4),(29,5)
4 2 12  0
5 3 8  1 (8,2)
5 4 49  1 (35,2)
6 5 30  1 (25,5)
8 6 21  1 (18,1)
9 7 50  2 (32,2),(41,2)
10 8 48  1 (18,4)
11 9 33  0
12 10 50  0
12 11 1  0
15 12 24  1 (11,2)
15 13 20  3 (10,3),(20,4),(20,5)
15 14 4  3 (1,1),(1,4),(4,3)
15 15 27  2 (10,3),(19,1)
16 16 50  3 (30,5),(38,5),(49,5)
17 17 43  1 (31,1)
18 18 18  1 (12,3)
19 19 18  1 (6,5)
20 20 6  3 (3,2),(5,3),(6,3)
20 21 19  2 (4,3),(13,4)
20 22 15  0
22 23 19  2 (5,2),(8,1)
25 24 10  3 (1,1),(8,3),(8,5)
26 25 10  1 (7,4)
26 26 27  3 (8,2),(12,4),(27,2)
26 27 7  3 (1,4),(1,5),(4,2)
27 28 33  0
28 29 41  1 (27,3)
28 30 10  3 (5,2),(6,1),(6,1)
28 31 48  0
31 32 14  0
34 33 32  1 (32,4)
35 34 13  0
35 35 13  0
37 36 15  3 (6,2),(13,3),(15,4)
37 37 5  0
38 38 28  0
38 39 12  1 (5,2)
40 40 34  2 (7,4),(10,2)
43 41 33  0
44 42 17  2 (3,1),(14,5)
44 43 18  0
45 44 20  1 (12,5)
46 45 32  1 (29,5)
46 46 13  3 (3,5),(11,2),(13,1)
48 47 29  0
49 48 48  3 (2,5),(27,1),(33,1)
49 49 42  0
49 50 47  2 (1,3),(35,5)
50 51 14  2 (5,4),(7,1)
52 52 35  1 (10,5)
52 53 4  2 (3,2),(4,3)
52 54 26  1 (15,2)
57 55 24  1 (12,4)
57 56 41  0
57 57 2  3 (1,1),(2,1),(2,4)
58 58 1  3 (1,5),(1,5),(1,5)
62 59 11  2 (6,3),(6,5)
63 60 46  0
66 61 38  3 (12,1),(29,2),(31,4)
67 62 25  0
68 63 18  2 (5,1),(17,4)
68 64 7  2 (3,3),(5,1)
69 65 11  2 (1,2),(1,2)
69 66 25  3 (3,5),(14,5),(15,4)
69 67 16  0
70 68 41  3 (28,1),(29,3),(37,4)
72 69 11  3 (4,4),(8,1),(10,2)
73 70 2  2 (1,5),(2,4)
74 71 1  1 (1,3)
77 72 16  0
78 73 11  0
78 74 47  0
82 75 38  3 (2,1),(12,3),(21,1)
83 76 22  0
85 77 23  3 (3,5),(6,5),(21,5)
85 78 1  2 (1,2),(1,2)
86 79 11  1 (1,3)
87 80 31  0
87 81 20  2 (7,1),(18,1)
88 82 3  2 (1,2),(2,3)
90 83 1  2 (1,3),(1,4)
92 84 32  3 (4,5),(26,4),(30,1)
93 85 19  2 (13,4),(16,2)
93 86 12  0
94 87 6  0
97 88 17  0
97 89 3  1 (1,5)
98 90 48  2 (22,4),(46,1)
99 91 38  1 (11,2)
99 92 3  1 (2,3)
100 93 20  3 (10,2),(14,5),(16,5)
101 94 12  1 (7,4)
101 95 32  3 (11,4),(27,5),(30,5)
101 96 4  3 (2,5),(4,3),(4,3)
104 97 3  3 (1,3),(2,1),(3,2)
104 98 11  3 (1,1),(9,5),(10,4)
104 99 35  3 (11,1),(20,4),(20,4)
105 100 40  1 (36,4)
109 101 6  2 (3,3),(5,1)
110 102 21  0
111 103 39  1 (24,2)
111 104 17  2 (3,2),(10,3)
111 105 44  0
113 106 40  3 (3,3),(31,5),(37,4)
113 107 44  0
114 108 45  1 (26,4)
115 109 22  2 (1,3),(12,3)
115 110 31  2 (10,4),(24,5)
116 111 31  0
116 112 4  2 (1,3),(3,1)
118 113 17  1 (11,5)
118 114 48  3 (32,3),(33,4),(43,1)
118 115 6  2 (4,4),(6,2)
118 116 29  3 (16,1),(20,3),(25,5)
120 117 25  2 (11,5),(19,3)
122 118 37  3 (1,1),(8,3),(29,4)
125 119 25  3 (12,5),(14,2),(23,5)
125 120 17  3 (4,2),(8,5),(11,1)
126 121 25  0
128 122 7  0
129 123 20  0
132 124 25  0
133 125 38  0
134 126 39  0
134 127 3  1 (3,2)
135 128 46  0
135 129 9  0
135 130 24  0
136 131 50  0
136 132 16  0
137 133 5  3 (1,1),(5,2),(5,4)
138 134 50  2 (24,2),(38,2)
139 135 49  1 (30,1)
139 136 26  1 (25,4)
141 137 14  0
142 138 13  0
143 139 42  3 (20,3),(28,5),(36,1)
143 140 10  1 (2,3)
145 141 43  2 (8,2),(15,1)
145 142 29  2 (3,4),(5,5)
146 143 30  1 (6,5)
146 144 16  1 (2,2)
148 145 31  1 (23,5)
148 146 16  0
150 147 16  1 (13,2)
151 148 36  2 (12,2),(28,5)
151 149 30  2 (5,1),(8,3)
155 150 46  3 (15,4),(43,1),(44,3)
159 151 37  1 (2,4)
159 152 3  1 (2,2)
162 153 44  1 (27,1)
162 154 8  1 (2,4)
163 155 29  2 (8,4),(22,1)
164 156 50  2 (7,4),(21,3)
164 157 11  1 (11,1)
166 158 4  0
169 159 21  3 (5,1),(8,3),(9,2)
169 160 40  2 (25,1),(35,5)
169 161 22  2 (4,1),(21,2)
170 162 37  2 (27,5),(30,5)
170 163 5  0
171 164 6  1 (2,1)
172 165 21  2 (14,1),(20,5)
173 166 31  3 (9,3),(13,2),(23,5)
173 167 11  3 (1,3),(5,5),(6,1)
174 168 36  1 (8,4)
175 169 25  2 (12,5),(17,3)
176 170 25  1 (18,5)
177 171 17  2 (8,1),(14,3)
177 172 50  1 (41,3)
179 173 6  1 (4,5)
181 174 25  2 (8,3),(20,1)
183 175 4  1 (1,3)
183 176 33  1 (14,3)
183 177 17  1 (16,5)
183 178 1  3 (1,2),(1,2),(1,4)
185 179 48  3 (27,3),(39,3),(45,1)
185 180 23  1 (23,1)
185 181 35  0
186 182 11  2 (1,1),(2,2)
186 183 6  2 (2,2),(2,2)
188 184 13  2 (2,5),(4,3)
188 185 12  0
188 186 50  3 (17,1),(21,5),(39,1)
189 187 34  0
189 188 35  1 (7,1)
190 189 24  1 (17,2)
190 190 42  2 (21,1),(36,4)
192 191 44  0
192 192 12  0
192 193 35  2 (1,3),(23,1)
195 194 21  0
197 195 40  1 (26,5)
198 196 24  3 (1,5),(7,2),(15,3)
198 197 3  1 (3,4)
198 198 39  2 (10,2),(32,2)
201 199 36  0
202 200 32  2 (5,3),(29,3)
202 201 15  1 (3,4)
206 202 26  1 (9,1)
207 203 34  1 (33,5)
207 204 45  2 (6,5),(34,2)
209 205 9  2 (2,3),(7,2)
210 206 7  2 (1,4),(2,3)
210 207 25  3 (3,4),(15,4),(15,4)
211 208 44  0
212 209 36  3 (21,1),(24,3),(29,4)
213 210 3  1 (2,2)
214 211 46  0
215 212 12  0
215 213 2  2 (2,3),(2,4)
216 214 4  1 (3,1)
216 215 16  0
219 216 17  1 (1,3)
219 217 44  1 (3,1)
220 218 45  2 (28,5),(36,3)
223 219 24  1 (24,5)
224 220 28  1 (23,5)
225 221 42  3 (7,4),(13,5),(35,3)
226 222 11  0
228 223 27  3 (7,2),(18,3),(23,2)
229 224 37  2 (2,3),(18,1)
230 225 1  2 (1,2),(1,4)
230 226 13  1 (13,3)
230 227 31  3 (3,2),(12,1),(14,4)
231 228 40  2 (21,3),(32,4)
233 229 2  1 (2,1)
234 230 11  0
235 231 21  0
237 232 19  2 (5,4),(15,5)
237 233 37  3 (12,3),(22,1),(26,2)
237 234 46  3 (2,4),(21,3),(44,3)
238 235 1  0
238 236 46  3 (3,5),(8,1),(40,3)
239 237 2  1 (1,5)
240 238 29  0
241 239 13  2 (3,1),(3,2)
241 240 16  1 (5,2)
242 241 43  3 (4,5),(22,3),(26,5)
242 242 40  0
243 243 2  3 (1,1),(1,5),(2,2)
243 244 49  1 (12,3)
243 245 17  3 (2,5),(15,3),(17,5)
243 246 24  2 (13,2),(17,4)
244 247 13  0
245 248 38  1 (38,1)
248 249 22  1 (4,1)
249 250 40  2 (3,1),(15,2)
249 251 48  2 (3,3),(27,5)
250 252 8  0
250 253 44  0
251 254 42  1 (34,3)
252 255 12  0
252 256 48  2 (2,5),(39,2)
256 257 9  3 (4,1),(6,5),(8,5)
258 258 3  1 (1,5)
259 259 3  0
259 260 28  2 (11,3),(19,4)
259 261 14  0
261 262 43  0
261 263 27  1 (10,2)
261 264 22  0
261 265 20  2 (10,3),(12,3)
264 266 40  0
265 267 22  1 (21,3)
265 268 31  3 (24,2),(25,3),(30,5)
268 269 19  2 (13,2),(17,4)
271 270 46  2 (13,2),(18,1)
272 271 17  0
272 272 5  2 (3,3),(5,5)
274 273 8  0
275 274 4  1 (4,3)
275 275 50  2 (19,4),(20,3)
276 276 15  2 (4,2),(15,1)
276 277 15  1 (13,5)
279 278 30  3 (6,3),(10,1),(26,1)
280 279 49  1 (40,2)
280 280 41  1 (20,3)
280 281 41  2 (3,1),(27,5)
281 282 9  2 (4,1),(7,3)
283 283 19  0
284 284 31  0
